"","LID","PLAND.z","LPI.z","ED.z","AREA_MN.z","GYRATE_MN.z","SHAPE_MN.z","PARA_MN.z","PAFRAC.z","ENN_MN.z","IJI.z","COHESION.z","AI.z","DIVISION.z","NP.z","PD.z","LSI.z"
"29","Carahue",0.845267603243041,0.0958347115370786,1.00611954935157,0.230049869501124,0.650583892775399,1.05145448021383,-0.708904276746606,1.03598243545063,-0.719567167410904,1.17941637569553,0.604505219596296,0.479685922244672,0.178500513577755,2.12501737888061,0.774524015684906,1.3002570673654
"30","Angol",1.23676213447591,1.54280167673134,0.984034276446831,1.34426153403036,-0.220795385383089,-0.684922836665446,1.3063522784531,-0.664574678799666,-0.714788078637595,-0.104396260185323,0.996869683948389,0.84408439405448,-0.916236935693686,0.519767764293772,-0.114659033012995,0.83935854825366
"31","Corral",-0.157264374881134,-0.43005934683949,0.929096660881255,-0.375959799298478,0.0554240482458263,2.58830189019576,1.09040099162528,1.5892922587448,-0.984500002444479,0.338925653759243,0.142507936404672,-1.38156564277707,0.388619475615338,0.0583397374287281,0.548420816213635,1.12217632990624
"32","Futrono",-1.28448484320791,-0.720909380116719,-1.52319133791376,-0.797951111170659,-0.928321197538889,-0.663568465358706,-0.0649626654598758,-0.939294940714958,1.55705310890456,1.08641204958214,-0.899533025833054,-0.406914769289375,0.430996409135522,-1.09198083658694,-1.60717445335703,-1.07706050423402
"33","La Union",-0.216514827468197,-0.337168112544943,0.253670707138786,0.0387537035152252,-0.0709866559859926,1.41848273704842,1.08790356754069,0.803824467634886,-0.587412022571319,0.752946163042147,0.732510104393703,-0.429009485208893,0.340945425405129,1.93654677635827,-0.329047040801817,2.21214733717883
"34","Lago Ranco",-1.31613878590422,-0.732903195921966,-1.55712997247877,-0.951414071319929,-1.36947342629637,-0.923824865659597,-0.347705726458123,0.1653900561416,1.7872240411223,1.2051593371041,-1.88580644999027,-0.850452496301816,0.430996409135522,-1.25445549393379,-1.61478932795063,-1.28301316019191
"35","Lanco",0.3214828621101,0.0681359499636577,0.97412186282123,-0.0518160649323502,0.765474575414284,1.61133940291242,-0.718730724033547,0.89668765476118,-0.734534585372463,-0.111997948224615,0.426401475039748,-0.230047481358435,0.242065913858031,-0.429084234611811,0.609925572546494,0.233577194083356
"36","Los Lagos",-0.294178864816958,-0.478486550945891,-0.0225988839025272,-0.105666151331356,0.735452537833071,0.797203996842963,0.123949423222793,-0.144153900946052,-0.698951203536327,-0.11074716026917,0.407327138525949,-0.160513036547264,0.399213708995383,1.47511874949323,-0.249969496945284,1.36680629557116
"37","Mafil ",0.167443619009636,-0.518778819114821,1.28960978657946,-0.409445321812444,-0.54755487636026,0.909314446203346,1.48971389938814,0.736111727021961,-0.744988549514567,-1.61847992826663,0.192989814969301,-0.958369662487223,0.370962419981928,0.175321490718457,1.34212505269957,0.813758757317992
"38","Mariquina",0.380464808114442,-0.156157096765326,1.48792195861525,-0.151480244386159,-0.287164706046311,1.25899227635121,0.777993859576467,1.10756447552714,-0.686582210310599,-0.256303972572566,0.595006353219947,-0.738298987890517,0.305631314138309,2.2290011595826,0.935607901318584,2.42615106893898
"39","Rio Bueno",-1.27110724857547,-0.725463553654364,-1.48685647120719,-0.796277025066085,-0.850076564897156,-0.117697348830171,1.10603853233839,-0.496260152133257,1.70237590712849,0.175276048239879,-0.621844391847033,-0.576149337175393,0.430996409135522,-0.942504151827845,-1.5567991291225,-0.89624006312164
"40","Valdivia",0.379945695387848,0.401059941438857,1.33327712363922,0.14396079916318,0.103361334360352,1.3130455287214,0.460866825129266,0.724503828631175,-0.702712805118551,-0.509292804614943,0.83102254116778,-0.530535617863858,0.081386707593997,0.519767764293772,0.331104010504201,1.539677943151
"41","Paillaco",-0.189622401505469,-0.411877417372406,0.530898791036725,-0.383022884486562,-0.699557254728908,0.587664228395579,1.71104954089374,0.434306368861499,-0.538084079719783,-0.0373579041857439,0.345814318362983,-0.832667162991396,0.383322358925313,0.526266750587646,0.500974289899715,1.00649508285277
"42","Traiguen",0.893915029219106,0.961344962961339,0.514572462712206,0.726352742430714,0.773196758112913,0.357437412744791,0.622038031147609,-0.505933400792245,-0.695210080419709,-0.445948636297726,0.829720277229087,0.95525185729251,-0.322959866411098,0.155824531836836,0.139560626496155,0.0865391254842565
"43","Freire",-0.980660694639873,-0.616876064762515,-0.913278370921634,-0.83858712858986,-0.356335975886692,0.0217733887669746,-0.735744425609784,0.621967392845889,0.755877024515263,1.37851466931649,-1.01183413960505,-0.930322155336496,0.425699292445499,-0.195120728032352,-0.287458110329122,-0.325534221588933
