LID ; TYPE ; CA ; PLAND ; LPI ; TE ; ED ; AREA_MN ; AREA_AM ; AREA_MD ; GYRATE_MN ; GYRATE_AM ; GYRATE_MD ; SHAPE_MN ; SHAPE_AM ; SHAPE_MD ; FRAC_MN ; FRAC_AM ; FRAC_MD ; PARA_MN ; PARA_AM ; PARA_MD ; CIRCLE_MN ; CIRCLE_AM ; CIRCLE_MD ; CONTIG_MN ; CONTIG_AM ; CONTIG_MD ; PAFRAC ; ENN_MN ; ENN_AM ; ENN_MD ; CLUMPY ; PLADJ ; IJI ; COHESION ; AI ; NLSI; DIVISION ; MESH ; SPLIT ; NP ; PD ; LSI 
Lago_Ranco_2014.tif ; Plantacion ;1847.43;1.0594;0.397;271200;1.5551;17.2657;293.0136;5.31;152.2384;784.7426;102.6681;1.7591;2.7295;1.5238;1.0944;1.1383;1.0853;378.3447;146.8635;295.082;0.6332;0.7375;0.6322;0.6858;0.8762;0.75;1.3855;578.9831;2551.6781;152.9706;0.895;88.9852;69.5571;96.0698;89.6117;0.1039;1;3.1041;56181.7342;107;0.0614;15.7561
Lanco_2014.tif ; Plantacion ;15118.2;28.5049;9.6137;1763250;33.2455;64.6077;1992.2882;7.11;231.5575;2073.0637;130.0055;2.139;8.5372;1.7222;1.1091;1.2364;1.1007;352.4353;118.8316;263.7336;0.6203;0.7274;0.653;0.7103;0.8998;0.7805;1.4233;147.9862;81.9514;84.8528;0.8785;91.0876;55.9726;99.0882;91.3105;0.0869;0.9893;567.899;93.3921;234;0.4412;36.5146
Los_Lagos_2014.tif ; Plantacion ;32554.8;18.1868;3.3243;3717330;20.7669;61.7738;1774.0611;7.02;230.4421;1909.4604;129.7534;2.017;8.5686;1.625;1.0989;1.2285;1.0955;411.2813;115.3507;263.5659;0.5976;0.7179;0.6597;0.6686;0.9031;0.7791;1.3695;154.0678;91.4868;84.8528;0.8961;91.3487;55.9855;99.0633;91.5009;0.085;0.9982;322.6445;554.7984;527;0.2944;52.0258
Mafil_2014.tif ; Plantacion ;14972.4;25.9233;2.8607;2148270;37.1953;45.7872;767.896;3.6;182.7749;1292.8022;90.6662;2.0338;8.1145;1.5556;1.0984;1.2457;1.0925;506.6553;145.3715;344.8276;0.5784;0.7009;0.6463;0.5932;0.8782;0.7063;1.415;146.1995;75.9506;67.082;0.8558;89.0971;40.4355;98.7835;89.3162;0.1068;0.9966;199.0641;290.1403;327;0.5662;44.4559
Mariquina_2014.tif ; Plantacion ;38170.26;29.4934;7.033;5135130;39.6781;59.3628;3104.4949;3.69;192.4491;2434.4923;91.192;2.0862;13.163;1.5714;1.1036;1.2743;1.095;456.9545;136.2574;345.9119;0.6058;0.7069;0.6555;0.6287;0.8862;0.7101;1.4342;156.1818;76.4633;67.082;0.857;89.7807;54.4843;99.3083;89.9188;0.1008;0.9929;915.6206;141.3465;643;0.4968;66.5257
Rio_Bueno_2014.tif ; Plantacion ;3941.64;1.8141;0.4826;529050;2.4349;25.4299;430.8192;3.87;171.5354;922.5827;104.9895;1.8799;4.2761;1.6667;1.1022;1.1712;1.0941;479.8625;134.2588;380.9524;0.6372;0.7313;0.6845;0.608;0.8865;0.6726;1.3513;564.4816;379.0079;108.1665;0.9018;89.9306;58.9354;97.7198;90.3628;0.0964;1;7.8156;27800.3634;155;0.0713;21.0501
Valdivia_2014.tif ; Plantacion ;28466.01;29.4847;13.4443;3643800;37.742;74.9106;6479.3537;5.04;206.9582;3428.0304;105.4427;2.0943;20.1357;1.6111;1.1026;1.2897;1.0972;434.8089;128.977;295.9145;0.5919;0.7181;0.6435;0.6456;0.8925;0.7473;1.4144;153.4249;80.2393;67.082;0.8651;90.3267;51.8751;99.6164;90.4877;0.0951;0.9802;1910.417;50.5361;380;0.3936;54.392
Corral_2014.tif ; Plantacion ;14692.77;20.4814;3.8815;2344500;32.6818;47.5494;856.106;3.78;205.1772;1292.717;97.5295;2.2854;8.6304;1.7;1.1127;1.2516;1.1087;478.7705;160.8138;344.8276;0.6095;0.7065;0.6661;0.6129;0.8666;0.7126;1.4591;105.2643;71.4881;67.082;0.8511;87.939;60.6232;98.7176;88.1574;0.1184;0.9976;175.3423;409.1265;309;0.4307;48.6774
Paillaco_2014.tif;Plantaciones;17974.71;19.9391;4.0907;2496780;27.6965;47.1777;1206.7258;2.52;177.1276;1498.1945;82.5468;1.9856;9.4192;1.5;1.0987;1.2497;1.0929;522.1116;140.5375;402.7778;0.5949;0.6867;0.6539;0.5799;0.8821;0.6609;1.3994;181.5618;84.9155;84.8528;0.8709;89.4597;56.7424;98.983;89.6604;0.1034;0.9973;240.6105;374.6634;381;0.4226;47.094
Traiguen_2013.tif ;Plantacion;34201.26;38.0985;19.8909;2467980;27.4921;105.5594;10053.8519;6.3;231.8444;4748.5085;119.8263;1.9511;11.5276;1.5848;1.0972;1.2504;1.094;446.0638;74.6306;286.4847;0.6009;0.7364;0.6488;0.6387;0.9365;0.7548;1.3508;154.7072;78.5662;90;0.9121;94.4027;52.5284;99.6147;94.5561;0.0544;0.9573;3830.3681;23.4365;324;0.3609;34.502
freire_2013.tif ; Plantacion ;6264.9;6.6818;1.732;901590;9.6159;23.2033;485.4856;6.03;189.8792;857.1371;124.9864;1.9008;3.7687;1.6742;1.1037;1.1657;1.099;351.2472;145.9465;305.4659;0.6723;0.7134;0.7009;0.7049;0.8759;0.7345;1.4091;402.7143;179.1396;174.9286;0.8863;89.054;71.345;97.2107;89.393;0.1061;0.9997;32.4393;2890.3241;270;0.288;28.8617
